"EC Reference Number","Entity name","Entity type","Registration status","Register","Entity status","Referendum","Designation status","Company reg no","Date of registration / notification","Fielding candidates in england","Fielding candidates in scotland","Fielding candidates in wales","Fielding candidates in combined region","Minor party fielding candidates","Referendum outcome"
"PP 704","1st 4 Kirkby","Political Party","Registered","Great Britain","","","","","28/03/2008 00:00:00","Y","N","N","N","N",""
"PP 210","21st Century Conservative Democrats","Political Party","Registered","Great Britain","","","","","27/11/2001 00:00:00","Y","Y","Y","N","N",""
"PP 2115","21st Century Democracy","Political Party","Registered","Great Britain","","","","","30/07/2013 00:00:00","Y","Y","Y","Y","N",""
"PP 2119","21st Century Democracy","Political Party","Registered","Northern Ireland","","","","","30/07/2013 00:00:00","N","N","N","N","N",""
"PP 1952","4 Freedoms Party (UK EPP)","Political Party","Registered","Great Britain","","","","","10/10/2012 00:00:00","Y","Y","Y","Y","N",""
"PP 224","A BEE C","Political Party","Registered","Great Britain","","","","","20/03/2002 00:00:00","Y","N","N","N","N",""
"PP 851","A Better Way to Govern","Political Party","Registered","Great Britain","","","","","26/03/2010 00:00:00","Y","Y","Y","Y","N",""
"PP 2331","ACC","Political Party","Registered","Great Britain","","","","","22/04/2014 00:00:00","Y","N","N","N","N",""
"PP 654","Action To Save St.John's Hospital","Political Party","Registered","Great Britain","","","","","19/03/2007 00:00:00","N","Y","N","N","N",""
"PP 2137","All People's Party","Political Party","Registered","Great Britain","","","","","21/08/2013 00:00:00","Y","N","N","Y","N",""
"PP 276","All Scotland Pensioners Party","Political Party","Registered","Great Britain","","","","","03/02/2003 00:00:00","N","Y","N","N","N",""
"PP 103","Alliance - Alliance Party of Northern Ireland","Political Party","Registered","Northern Ireland","","","","","25/02/1999 00:00:00","N","N","N","N","N",""
"PP 67","Alliance For Green Socialism","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","Y","Y","N","N",""
"PP 766","Alliance for Workers' Liberty","Political Party","Registered","Great Britain","","","","","23/06/2009 00:00:00","Y","Y","Y","N","N",""
"PP 334","Alternative Party","Political Party","Registered","Great Britain","","","","","21/05/2003 00:00:00","Y","Y","Y","N","N",""
"PP 2399","Al-Zebabist Nation of Ooog","Political Party","Registered","Great Britain","","","","","12/09/2014 00:00:00","Y","Y","Y","N","N",""
"PP 1918","An Independence from Europe","Political Party","Registered","Great Britain","","","","","20/06/2012 00:00:00","Y","Y","Y","Y","N",""
"PP 616","Animal Welfare Party","Political Party","Registered","Great Britain","","","","","22/01/2007 00:00:00","Y","Y","Y","N","N",""
"PP 845","Apolitical Democrats","Political Party","Registered","Great Britain","","","","","22/03/2010 00:00:00","Y","Y","Y","N","N",""
"PP 291","Ashford Independent","Political Party","Registered","Great Britain","","","","","06/03/2003 00:00:00","Y","N","N","N","N",""
"PP 625","Ashtead Independents","Political Party","Registered","Great Britain","","","","","05/03/2007 00:00:00","Y","N","N","N","N",""
"PP 904","Ban Bankers Bonuses","Political Party","Registered","Great Britain","","","","","18/02/2011 00:00:00","N","Y","N","N","N",""
"PP 530","Barnsley Independent Group","Political Party","Registered","Great Britain","","","","","14/02/2006 00:00:00","Y","N","N","N","N",""
"PP 1","Beaconsfield Independent Electors Association","Political Party","Registered","Great Britain","","","","","23/11/2000 00:00:00","Y","N","N","N","N",""
"PP 2027","Beer, Baccy and Crumpet Party","Political Party","Registered","Great Britain","","","","","13/02/2013 00:00:00","Y","N","N","N","N",""
"PP 2091","Better Bedford","Political Party","Registered","Great Britain","","","","","18/06/2013 00:00:00","Y","N","N","N","N",""
"PP 457","Billingham Independents Association","Political Party","Registered","Great Britain","","","","","23/03/2005 00:00:00","Y","N","N","N","N",""
"PP 1718","Binfield Independent Conservatives","Political Party","Registered","Great Britain","","","","","31/03/2011 00:00:00","Y","N","N","N","N",""
"PP 2013","Brentwood First","Political Party","Registered","Great Britain","","","","","06/02/2013 00:00:00","Y","N","N","N","N",""
"PP 1957","Bristol 1st","Political Party","Registered","Great Britain","","","","","11/10/2012 00:00:00","Y","N","N","N","N",""
"PP 2214","Britain First","Political Party","Registered","Great Britain","","","","","10/01/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 1803","Britannica","Political Party","Registered","Great Britain","","","","","18/08/2011 00:00:00","Y","Y","Y","N","N",""
"PP 2171","British Commonwealth Party","Political Party","Registered","Great Britain","","","","","20/01/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 1765","British Democratic Party","Political Party","Registered","Great Britain","","","","","23/05/2011 00:00:00","Y","Y","Y","N","N",""
"PP 2165","British Independents","Political Party","Registered","Great Britain","","","","","28/11/2013 00:00:00","Y","Y","Y","Y","N",""
"PP 758","British Jobs First","Political Party","Registered","Great Britain","","","","","22/04/2009 00:00:00","Y","Y","Y","N","N",""
"PP 105","British National Party","Political Party","Registered","Northern Ireland","","","","","02/02/2011 00:00:00","N","N","N","N","N",""
"PP 106","British National Party","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","Y","Y","N","N",""
"PPm 2126","British Unicorn Party","Minor Party","Registered","","","","","","01/08/2013 00:00:00","Y","N","Y","N","Y",""
"PP 289","Calverton First Independents Party","Political Party","Registered","Great Britain","","","","","20/03/2003 00:00:00","Y","N","N","N","N",""
"PP 803","Cambridge Socialists","Political Party","Registered","Great Britain","","","","","27/01/2010 00:00:00","Y","N","N","N","N",""
"PP 2338","Campaign West Independent","Political Party","Registered","Great Britain","","","","","15/04/2014 00:00:00","Y","N","N","Y","N",""
"PP 381","Canvey Island Independent Party","Political Party","Registered","Great Britain","","","","","22/04/2004 00:00:00","Y","N","N","N","N",""
"PP 1714","Castle Independents","Political Party","Registered","Great Britain","","","","","25/03/2011 00:00:00","Y","N","N","N","N",""
"PP 815","Centre Democrats","Political Party","Registered","Great Britain","","","","","22/02/2010 00:00:00","Y","Y","Y","Y","N",""
"PP 478","Centreground Party","Political Party","Registered","Great Britain","","","","","12/04/2005 00:00:00","Y","Y","Y","Y","N",""
"PP 246","Chigwell Residents","Political Party","Registered","Great Britain","","","","","12/06/2002 00:00:00","Y","N","N","N","N",""
"PP 2302","Christian Democrat Party for a Consensus","Political Party","Registered","Great Britain","","","","","03/04/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 50","Christian Democratic Party","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","Y","Y","Y","N",""
"PP 839","Christian Movement for Great Britain","Political Party","Registered","Great Britain","","","","","15/03/2010 00:00:00","Y","Y","Y","Y","N",""
"PP 1992","Christian Party ""Proclaiming Christ's Lordship""","Political Party","Registered","Great Britain","","","","","29/01/2013 00:00:00","Y","Y","Y","Y","N",""
"PP 79","Christian Peoples Alliance","Political Party","Registered","Great Britain","","","","","24/03/1999 00:00:00","Y","Y","Y","N","N",""
"PP 843","Church of the Militant Elvis","Political Party","Registered","Great Britain","","","","","17/03/2010 00:00:00","Y","N","N","N","N",""
"PP 1891","Citizens First","Political Party","Registered","Great Britain","","","","","22/03/2012 00:00:00","N","Y","N","N","N",""
"PP 396","City INDEPENDENTS","Political Party","Registered","Great Britain","","","","","16/06/2004 00:00:00","Y","N","N","N","N",""
"PP 2009","Civil Society and Common Wealth","Political Party","Registered","Great Britain","","","","","17/01/2013 00:00:00","Y","Y","Y","Y","N",""
"PP 2269","Class War","Political Party","Registered","Great Britain","","","","","25/02/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 488","Clause 28, Children's Protection Christian Democrats","Political Party","Registered","Great Britain","","","","","12/04/2005 00:00:00","Y","Y","Y","N","N",""
"PP 375","Common Good","Political Party","Registered","Great Britain","","","","","01/04/2004 00:00:00","Y","Y","Y","Y","N",""
"PP 376","Common Good","Political Party","Registered","Northern Ireland","","","","","01/04/2004 00:00:00","N","N","N","N","N",""
"PP 823","Communist League Election Campaign","Political Party","Registered","Great Britain","","","","","03/03/2010 00:00:00","Y","Y","Y","Y","N",""
"PP 78","Communist Party of Britain","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","Y","Y","Y","N",""
"PP 1890","Communities Against the Cuts","Political Party","Registered","Great Britain","","","","","21/03/2012 00:00:00","Y","N","N","N","N",""
"PP 844","Communities United Party","Political Party","Registered","Great Britain","","","","","17/03/2010 00:00:00","Y","N","N","N","N",""
"PP 2232","Community Action Party","Political Party","Registered","Great Britain","","","","","05/02/2014 00:00:00","Y","N","N","N","N",""
"PP 367","Community Campaign (Hart)","Political Party","Registered","Great Britain","","","","","27/02/2004 00:00:00","Y","Y","Y","N","N",""
"PP 751","Community First","Political Party","Registered","Great Britain","","","","","01/04/2009 00:00:00","Y","N","N","N","N",""
"PP 885","Community Partnership (Northern Ireland)","Political Party","Registered","Northern Ireland","","","","","29/09/2010 00:00:00","N","N","N","N","N",""
"PP 10","Community Representatives Party","Political Party","Registered","Great Britain","","","","","14/09/2000 00:00:00","Y","N","N","N","N",""
"PP 51","Conservative and Unionist Party","Political Party","Registered","Northern Ireland","","","","","16/02/2001 00:00:00","N","N","N","N","N",""
"PP 52","Conservative Party","Political Party","Registered","Great Britain","","","","","14/01/1999 00:00:00","Y","Y","Y","Y","N",""
"PP 119","Co-operative Party","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","Y","Y","N","N",""
"PP 2355","Deep Earth Ecosphere Preservation Alliance","Political Party","Registered","Great Britain","","","","","24/07/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 1962","Democracy 2015","Political Party","Registered","Great Britain","","","","","10/10/2012 00:00:00","Y","Y","Y","N","N",""
"PP 2277","Democracy First","Political Party","Registered","Northern Ireland","","","","","10/03/2014 00:00:00","N","N","N","N","N",""
"PP 1724","Democracy First","Political Party","Registered","Great Britain","","","","","31/03/2011 00:00:00","Y","N","N","N","N",""
"PP 731","Democratic Independence Party","Political Party","Registered","Great Britain","","","","","19/09/2008 00:00:00","Y","N","N","N","N",""
"PP 2216","Democratic Reform Party","Political Party","Registered","Great Britain","","","","","20/02/2014 00:00:00","Y","N","N","N","N",""
"PP 1860","Democratic Republican Party","Political Party","Registered","Great Britain","","","","","01/02/2012 00:00:00","Y","Y","Y","N","N",""
"PP 70","Democratic Unionist Party - D.U.P.","Political Party","Registered","Northern Ireland","","","","","14/01/1999 00:00:00","N","N","N","N","N",""
"PP 147","Derwentside Independents","Political Party","Registered","Great Britain","","","","","18/04/2001 00:00:00","Y","N","N","N","N",""
"PP 249","Devizes Guardians","Political Party","Registered","Great Britain","","","","","19/06/2002 00:00:00","Y","N","N","N","N",""
"PP 667","Direct Democracy (Communist) Party","Political Party","Registered","Great Britain","","","","","06/06/2007 00:00:00","Y","Y","Y","N","N",""
"PP 2339","Doncaster First Independents Group","Political Party","Registered","Great Britain","","","","","15/04/2014 00:00:00","Y","N","N","N","N",""
"PPm 1711","Dunmow First","Minor Party","Registered","","","","","","24/03/2011 00:00:00","Y","N","N","N","Y",""
"PP 12","East Cleveland Independent","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","N","N","N","N",""
"PP 646","East Lindsey Independent Group","Political Party","Registered","Great Britain","","","","","19/03/2007 00:00:00","Y","N","N","N","N",""
"PP 729","Edinburgh Residents Party","Political Party","Registered","Great Britain","","","","","29/08/2008 00:00:00","N","Y","N","N","N",""
"PP 1715","éirígí","Political Party","Registered","Northern Ireland","","","","","29/03/2011 00:00:00","N","N","N","N","N",""
"PP 675","Elm Park Residents' Association","Political Party","Registered","Great Britain","","","","","25/06/2007 00:00:00","Y","N","N","N","N",""
"PP 691","ENG","Political Party","Registered","Great Britain","","","","","12/02/2008 00:00:00","Y","Y","Y","N","N",""
"PP 692","ENG","Political Party","Registered","Northern Ireland","","","","","12/02/2008 00:00:00","N","N","N","N","N",""
"PP 17","English Democrats","Political Party","Registered","Great Britain","","","","","15/11/1999 00:00:00","Y","N","Y","N","N",""
"PP 5","English Independence Party","Political Party","Registered","Great Britain","","","","","18/04/2000 00:00:00","Y","Y","Y","N","N",""
"PP 258","English National Party","Political Party","Registered","Great Britain","","","","","18/09/2002 00:00:00","Y","Y","Y","N","N",""
"PP 195","English Parliamentary Party","Political Party","Registered","Great Britain","","","","","25/07/2001 00:00:00","Y","N","N","N","N",""
"PP 693","English People's Party","Political Party","Registered","Great Britain","","","","","11/02/2008 00:00:00","Y","Y","Y","N","N",""
"PP 2194","Equal and Just Society","Political Party","Registered","Great Britain","","","","","20/01/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 526","Equal Parenting Alliance","Political Party","Registered","Great Britain","","","","","22/02/2006 00:00:00","Y","Y","Y","Y","N",""
"PP 59","Esher Residents Association","Political Party","Registered","Great Britain","","","","","28/02/2000 00:00:00","Y","N","N","N","N",""
"PP 901","Eston Independent Party","Political Party","Registered","Great Britain","","","","","25/01/2011 00:00:00","Y","N","N","N","N",""
"PP 2309","Europeans Party","Political Party","Registered","Great Britain","","","","","01/04/2014 00:00:00","Y","N","N","N","N",""
"PP 230","Ewell Court Residents' Association","Political Party","Registered","Great Britain","","","","","20/03/2002 00:00:00","Y","N","N","N","N",""
"PP 188","Fancy Dress Party","Political Party","Registered","Great Britain","","","","","17/05/2001 00:00:00","Y","N","N","N","N",""
"PP 2295","Fermanagh Against Fracking","Political Party","Registered","Northern Ireland","","","","","10/03/2014 00:00:00","N","N","N","N","N",""
"PP 689","Fianna Fáil - The Republican Party","Political Party","Registered","Northern Ireland","","","","","10/12/2007 00:00:00","N","N","N","N","N",""
"PP 2438","For Russia","Political Party","Registered","Great Britain","","","","","24/07/2014 00:00:00","Y","Y","Y","N","N",""
"PP 2299","FRAG","Political Party","Registered","Great Britain","","","","","03/04/2014 00:00:00","Y","N","N","N","N",""
"PP 866","Free Public Transport Party","Political Party","Registered","Great Britain","","","","","13/04/2010 00:00:00","Y","Y","Y","N","N",""
"PP 372","Free Scotland Party [FSP]","Political Party","Registered","Great Britain","","","","","01/04/2004 00:00:00","N","Y","N","N","N",""
"PP 1920","Fulham Group","Political Party","Registered","Great Britain","","","","","24/07/2012 00:00:00","Y","Y","Y","Y","N",""
"PP 149","Fylde Ratepayers","Political Party","Registered","Great Britain","","","","","18/04/2001 00:00:00","Y","N","N","N","N",""
"PP 609","Get Snouts Out The Trough","Political Party","Registered","Great Britain","","","","","11/12/2006 00:00:00","Y","N","N","N","N",""
"PPm 1970","Gift Economy Party","Minor Party","Registered","","","","","","12/11/2012 00:00:00","Y","N","Y","N","Y",""
"PP 1855","Glasgow First","Political Party","Registered","Great Britain","","","","","29/02/2012 00:00:00","N","Y","N","N","N",""
"PP 63","Green Party","Political Party","Registered","Great Britain","","","","","25/02/1999 00:00:00","Y","N","Y","Y","N",""
"PP 305","Green Party","Political Party","Registered","Northern Ireland","","","","","10/04/2003 00:00:00","N","N","N","N","N",""
"PP 2030","Hackney First","Political Party","Registered","Great Britain","","","","","28/03/2013 00:00:00","Y","N","N","N","N",""
"PPm 284","Hadley & Leegomery Residents Association","Minor Party","Registered","","","","","","19/02/2003 00:00:00","Y","N","N","N","Y",""
"PP 251","Halstead Residents' Association","Political Party","Registered","Great Britain","","","","","10/07/2002 00:00:00","Y","N","N","N","N",""
"PP 96","Handforth 'Ratepayers' Association (Independent)","Political Party","Registered","Great Britain","","","","","02/03/2000 00:00:00","Y","N","N","N","N",""
"PP 2183","Harlow Independent Party","Political Party","Registered","Great Britain","","","","","22/01/2014 00:00:00","Y","N","N","N","N",""
"PP 2313","Harmony Party","Political Party","Registered","Great Britain","","","","","01/04/2014 00:00:00","Y","Y","Y","Y","N",""
"PP 784","Harold Wood Hill Park Residents Association","Political Party","Registered","Great Britain","","","","","09/11/2009 00:00:00","Y","N","N","N","N",""
"PP 1810","Hartlepool Independents - Putting Hartlepool First","Political Party","Registered","Great Britain","","","","","28/09/2011 00:00:00","Y","N","N","Y","N",""
"PP 38","Havering Residents Association","Political Party","Registered","Great Britain","","","","","16/03/2000 00:00:00","Y","N","N","N","N",""
"PP 126","Hawkwell Residents","Political Party","Registered","Great Britain","","","","","15/03/2001 00:00:00","Y","N","N","N","N",""
"PP 1858","Heath & Birchgrove Independents","Political Party","Registered","Great Britain","","","","","21/02/2012 00:00:00","N","N","Y","N","N",""
"PP 1725","Henley Independents","Political Party","Registered","Great Britain","","","","","31/03/2011 00:00:00","Y","N","N","N","N",""
"PP 199","Henley Residents Group","Political Party","Registered","Great Britain","","","","","05/09/2001 00:00:00","Y","N","N","N","N",""
"PP 1874","Hersham Village Society","Political Party","Registered","Great Britain","","","","","21/02/2012 00:00:00","Y","N","N","N","N",""
"PP 308","Hextable Independent","Political Party","Registered","Great Britain","","","","","20/03/2003 00:00:00","Y","N","N","N","N",""
"PP 15","Hinchley Wood Residents Association","Political Party","Registered","Great Britain","","","","","17/02/2000 00:00:00","Y","N","N","N","N",""
"PP 2237","Hoi Polloi","Political Party","Registered","Great Britain","","","","","28/01/2014 00:00:00","Y","Y","Y","N","N",""
"PP 207","Hornchurch Residents Association","Political Party","Registered","Great Britain","","","","","30/10/2001 00:00:00","Y","N","N","N","N",""
"PP 834","Humanity","Political Party","Registered","Great Britain","","","","","12/03/2010 00:00:00","Y","Y","Y","N","N",""
"PP 835","Humanity","Political Party","Registered","Northern Ireland","","","","","12/03/2010 00:00:00","N","N","N","N","N",""
"PP 1987","INDEPENDENT - Putting People First","Political Party","Registered","Great Britain","","","","","12/12/2012 00:00:00","Y","N","N","N","N",""
"PP 293","Independent Green Voice","Political Party","Registered","Great Britain","","","","","14/03/2003 00:00:00","Y","Y","Y","N","N",""
"PP 231","Independent Group of Councillors","Political Party","Registered","Great Britain","","","","","21/03/2002 00:00:00","Y","N","N","N","N",""
"PP 44","Independent Kidderminster Hospital and Health Concern","Political Party","Registered","Great Britain","","","","","27/01/2000 00:00:00","Y","N","N","N","N",""
"PP 2136","Independent Labour Group","Political Party","Registered","Great Britain","","","","","16/08/2013 00:00:00","Y","N","N","Y","N",""
